Value of n, Time 
 50000,0.053000
 100000,0.109000
 150000,0.239000
 200000,0.295000
 250000,0.347000
 300000,0.410000
 350000,0.465000
 400000,0.517000
 450000,0.574000
 500000,0.659000
 550000,0.758000
 600000,0.819000
 650000,0.879000
 700000,0.962000
 750000,1.017000
 800000,1.078000
 850000,1.147000
 900000,1.215000
 950000,1.279000
 1000000,1.352000
 1050000,1.415000
 1100000,1.438000
 1150000,1.458000
 1200000,1.489000
 1250000,1.515000
 1300000,1.538000
 1350000,1.569000
 1400000,1.591000
 1450000,1.620000
 1500000,1.641000
 1550000,1.668000
 1600000,1.708000
 1650000,1.737000
 1700000,1.761000
 1750000,1.795000
 1800000,1.821000
 1850000,1.855000
 1900000,1.879000
 1950000,1.907000
 2000000,1.935000
 2050000,1.961000
 2100000,2.052000
 2150000,2.075000
 2200000,2.098000
 2250000,2.132000
 2300000,2.167000
 2350000,2.200000
 2400000,2.247000
 2450000,2.279000
 2500000,2.312000
 2550000,2.334000
 2600000,2.363000
 2650000,2.408000
 2700000,2.431000
 2750000,2.457000
 2800000,2.508000
 2850000,2.547000
 2900000,2.613000
 2950000,2.655000
 3000000,2.691000
 3050000,2.746000
 3100000,2.786000
 3150000,2.888000
 3200000,2.921000
 3250000,2.951000
 3300000,2.978000
 3350000,3.007000
 3400000,3.032000
 3450000,3.068000
 3500000,3.102000
 3550000,3.144000
 3600000,3.172000
 3650000,3.206000
 3700000,3.263000
 3750000,3.303000
 3800000,3.343000
 3850000,3.421000
 3900000,3.502000
 3950000,3.549000
 4000000,3.586000
 4050000,3.627000
 4100000,3.669000
 4150000,3.704000
 4200000,3.976000
 4250000,3.999000
 4300000,4.026000
 4350000,4.063000
 4400000,4.101000
 4450000,4.131000
 4500000,4.164000
 4550000,4.187000
 4600000,4.216000
 4650000,4.243000
 4700000,4.272000
 4750000,4.321000
 4800000,4.356000
 4850000,4.389000
 4900000,4.417000
 4950000,4.444000
 5000000,4.486000
 5050000,4.513000
 5100000,4.536000
 5150000,4.565000
 5200000,4.591000
 5250000,4.655000
 5300000,4.680000
 5350000,4.710000
 5400000,4.740000
 5450000,4.777000
 5500000,4.810000
 5550000,4.857000
 5600000,4.892000
 5650000,4.935000
 5700000,4.989000
 5750000,5.039000
 5800000,5.108000
 5850000,5.153000
 5900000,5.199000
 5950000,5.237000
 6000000,5.275000
 6050000,5.322000
 6100000,5.364000
 6150000,5.403000
 6200000,5.447000
 6250000,5.482000
 6300000,5.615000
 6350000,5.651000
 6400000,5.692000
 6450000,5.746000
 6500000,5.779000
 6550000,5.818000
 6600000,5.890000
 6650000,5.942000
 6700000,6.029000
 6750000,6.134000
 6800000,6.240000
 6850000,6.383000
 6900000,6.474000
 6950000,6.591000
 7000000,6.676000
 7050000,6.770000
 7100000,6.860000
 7150000,6.974000
 7200000,7.084000
 7250000,7.186000
 7300000,7.253000
 7350000,7.380000
 7400000,7.434000
 7450000,7.516000
 7500000,7.652000
 7550000,7.784000
 7600000,7.844000
 7650000,7.922000
 7700000,8.014000
 7750000,8.139000
 7800000,8.313000
 7850000,8.437000
 7900000,8.536000
 7950000,8.585000
 8000000,8.650000
 8050000,8.713000
 8100000,8.793000
 8150000,8.905000
 8200000,8.986000
 8250000,9.083000
 8300000,9.199000
 8350000,9.292000
 8400000,9.823000
 8450000,9.871000
 8500000,9.923000
 8550000,10.007000
 8600000,10.050000
 8650000,10.092000
 8700000,10.158000
 8750000,10.210000
 8800000,10.277000
 8850000,10.337000
 8900000,10.383000
 8950000,10.454000
 9000000,10.510000
 9050000,10.574000
 9100000,10.630000
 9150000,10.676000
 9200000,10.739000
 9250000,10.775000
 9300000,10.806000
 9350000,10.849000
 9400000,10.896000
 9450000,11.028000
 9500000,11.081000
 9550000,11.116000
 9600000,11.159000
 9650000,11.203000
 9700000,11.258000
 9750000,11.291000
 9800000,11.329000
 9850000,11.386000
 9900000,11.461000
 9950000,11.539000
 10000000,11.695000
